"Jahr","Stadtquartier (historisch) (Code)","Stadtquartier (historisch) (Num)","Stadtquartier (historisch) (Name)","Kontinet BfS","Kontinent BfS (Sort)","Region BfS","Region BfS (Sort)","Land Heimat aktuell (Code)","Land Heimat aktuell (Name)","Land Heimat aktuell (Sort)","Land Heimat historisch (Code)","Land Heimat historisch (Name)","Land Heimat historisch (Sort)","wirtschaftliche Bevölkerung"
"2008","013","13","Lindenhof","Afrika","2","Nordafrika","21","8304","Algerien","63","8304","Algerien","70","0"
"2008","013","13","Lindenhof","Afrika","2","Nordafrika","21","8357","Tunesien","112","8357","Tunesien","119","0"
"2008","013","13","Lindenhof","Afrika","2","Westafrika","24","8312","Gambia","70","8312","Gambia","77","0"
"2008","013","13","Lindenhof","Afrika","2","Westafrika","24","8336","Nigeria","93","8336","Nigeria","100","0"
"2008","013","13","Lindenhof","Afrika","2","Zentralafrika","23","8323","Dem. Republik Kongo","80","8323","Dem. Republik Kongo","87","0"
"2008","013","13","Lindenhof","Amerika","3","Karibik","32","8409","Dominikanische Republik","135","8409","Dominikanische Republik","142","0"
"2008","013","13","Lindenhof","Amerika","3","Karibik","32","8418","Haiti","144","8418","Haiti","151","0"
"2008","013","13","Lindenhof","Amerika","3","Mittleres Südamerika","35","8405","Bolivien","131","8405","Bolivien","138","0"
"2008","013","13","Lindenhof","Amerika","3","Mittleres Südamerika","35","8406","Brasilien","132","8406","Brasilien","139","2"
"2008","013","13","Lindenhof","Amerika","3","Mittleres Südamerika","35","8410","Ecuador","136","8410","Ecuador","143","1"
"2008","013","13","Lindenhof","Amerika","3","Mittleres Südamerika","35","8432","Peru","156","8432","Peru","163","0"
"2008","013","13","Lindenhof","Amerika","3","Nordamerika","31","8423","Kanada","148","8423","Kanada","155","1"
"2008","013","13","Lindenhof","Amerika","3","Nordamerika","31","8439","USA","163","8439","USA","170","14"
"2008","013","13","Lindenhof","Amerika","3","Südliches Südamerika","36","8401","Argentinien","127","8401","Argentinien","134","1"
"2008","013","13","Lindenhof","Asien","4","Ostasien","42","8507","Chinesisches Taipei","187","8507","Chinesisches Taipei","194","1"
"2008","013","13","Lindenhof","Asien","4","Ostasien","42","8508","China (Volksrepublik China)","188","8508","China (Volksrepublik China)","195","4"
"2008","013","13","Lindenhof","Asien","4","Ostasien","42","8508","China (Volksrepublik China)","188","8543","Tibet","229","0"
"2008","013","13","Lindenhof","Asien","4","Ostasien","42","8515","Japan","194","8515","Japan","202","6"
"2008","013","13","Lindenhof","Asien","4","Südasien","46","8501","Afghanistan","181","8501","Afghanistan","188","1"
"2008","013","13","Lindenhof","Asien","4","Südasien","46","8506","Sri Lanka","186","8506","Sri Lanka","193","0"
"2008","013","13","Lindenhof","Asien","4","Südasien","46","8510","Indien","189","8510","Indien","197","0"
"2008","013","13","Lindenhof","Asien","4","Südostasien","47","8511","Indonesien","190","8511","Indonesien","198","1"
"2008","013","13","Lindenhof","Asien","4","Südostasien","47","8537","Singapur","214","8537","Singapur","223","1"
"2008","013","13","Lindenhof","Asien","4","Südostasien","47","8542","Thailand","218","8542","Thailand","228","0"
"2008","013","13","Lindenhof","Asien","4","Südostasien","47","8545","Vietnam","220","8545","Vietnam","231","0"
"2008","013","13","Lindenhof","Asien","4","Westasien","44","8512","Irak","191","8512","Irak","199","2"
"2008","013","13","Lindenhof","Asien","4","Westasien","44","8513","Iran","192","8513","Iran","200","0"
"2008","013","13","Lindenhof","Europa","1","Nordeuropa","11","8206","Dänemark","7","8206","Dänemark","6","8"
"2008","013","13","Lindenhof","Europa","1","Nordeuropa","11","8234","Schweden","32","8234","Schweden","35","8"
"2008","013","13","Lindenhof","Europa","1","Osteuropa","12","8264","Russland","53","8264","Russland","59","2"
"2008","013","13","Lindenhof","Europa","1","Osteuropa","12","8265","Ukraine","54","8265","Ukraine","60","2"
"2008","013","13","Lindenhof","Europa","1","Südeuropa","16","8214","Griechenland","13","8214","Griechenland","15","1"
"2008","013","13","Lindenhof","Europa","1","Südeuropa","16","8218","Italien","17","8218","Italien","19","23"
"2008","013","13","Lindenhof","Europa","1","Südeuropa","16","8239","Türkei","37","8239","Türkei","40","2"
"2008","013","13","Lindenhof","Europa","1","Südeuropa","16","8242","Zypern","40","8242","Zypern","43","0"
"2008","013","13","Lindenhof","Europa","1","Südosteuropa","17","8232","Rumänien","30","8232","Rumänien","33","3"
"2008","013","13","Lindenhof","Europa","1","Südosteuropa","17","8250","Kroatien","43","8250","Kroatien","46","3"
"2008","013","13","Lindenhof","Europa","1","Südosteuropa","17","8252","Bosnien-Herzegowina","45","8252","Bosnien-Herzegowina","48","0"
"2008","013","13","Lindenhof","Europa","1","Südosteuropa","17","8255","Mazedonien","46","8255","Mazedonien","51","2"
"2008","013","13","Lindenhof","Europa","1","Südosteuropa","17","8259","Serbien und Montenegro; Kosovo","48","8248","Serbien","49","1"
"2008","013","13","Lindenhof","Europa","1","Südosteuropa","17","8259","Serbien und Montenegro; Kosovo","48","8259","Serbien und Montenegro","54","4"
"2008","013","13","Lindenhof","Europa","1","Südwesteuropa","15","8231","Portugal","29","8231","Portugal","32","4"
"2008","013","13","Lindenhof","Europa","1","Südwesteuropa","15","8236","Spanien","34","8236","Spanien","37","4"
"2008","013","13","Lindenhof","Europa","1","Westeuropa","14","8212","Frankreich","11","8212","Frankreich","13","9"
"2008","013","13","Lindenhof","Europa","1","Westeuropa","14","8215","Grossbritannien","14","8215","Grossbritannien","16","17"
"2008","013","13","Lindenhof","Europa","1","Westeuropa","14","8216","Irland","15","8216","Irland","17","3"
"2008","013","13","Lindenhof","Europa","1","Westeuropa","14","8223","Luxemburg","21","8223","Luxemburg","24","1"
"2008","013","13","Lindenhof","Europa","1","Westeuropa","14","8227","Niederlande","25","8227","Niederlande","28","0"
"2008","013","13","Lindenhof","Europa","1","Zentraleuropa","13","1000","Schweiz","2","1000","Schweiz","1","720"
"2008","013","13","Lindenhof","Europa","1","Zentraleuropa","13","8207","Deutschland","8","8207","Deutschland","8","68"
"2008","013","13","Lindenhof","Europa","1","Zentraleuropa","13","8222","Liechtenstein","20","8222","Liechtenstein","23","1"
"2008","013","13","Lindenhof","Europa","1","Zentraleuropa","13","8229","Österreich","27","8229","Österreich","30","14"
"2008","013","13","Lindenhof","Europa","1","Zentraleuropa","13","8240","Ungarn","38","8240","Ungarn","41","2"
"2008","013","13","Lindenhof","Europa","1","Zentraleuropa","13","8244","Tschechische Republik","42","8244","Tschechische Republik","45","1"
"2008","013","13","Lindenhof","Ozeanien","5","Südliches Ozeanien","56","8601","Australien","233","8601","Australien","244","1"
"2008","013","13","Lindenhof","Ozeanien","5","Südliches Ozeanien","56","8607","Neuseeland","238","8607","Neuseeland","249","1"
"2008","013","13","Lindenhof","Unbekannt","9","Unbekannt","99","8998","Staatenlos","276","8998","Staatenlos","288","0"
"2008","014","14","City","Afrika","2","Nordafrika","21","8331","Marokko","88","8331","Marokko","95","1"
"2008","014","14","City","Afrika","2","Ostafrika","22","8302","Äthiopien","61","8302","Äthiopien","68","0"
"2008","014","14","City","Afrika","2","Südwestafrika","25","8305","Angola","64","8305","Angola","71","1"
"2008","014","14","City","Afrika","2","Westafrika","24","8313","Ghana","71","8313","Ghana","78","0"
"2008","014","14","City","Amerika","3","Karibik","32","8409","Dominikanische Republik","135","8409","Dominikanische Republik","142","1"
"2008","014","14","City","Amerika","3","Mittleres Südamerika","35","8406","Brasilien","132","8406","Brasilien","139","2"
"2008","014","14","City","Amerika","3","Mittleres Südamerika","35","8432","Peru","156","8432","Peru","163","2"
"2008","014","14","City","Amerika","3","Nordamerika","31","8423","Kanada","148","8423","Kanada","155","3"
"2008","014","14","City","Amerika","3","Nordamerika","31","8439","USA","163","8439","USA","170","14"
"2008","014","14","City","Amerika","3","Nördliches Südamerika","34","8424","Kolumbien","149","8424","Kolumbien","156","1"
"2008","014","14","City","Amerika","3","Südliches Südamerika","36","8407","Chile","133","8407","Chile","140","2"
"2008","014","14","City","Asien","4","Ostasien","42","8508","China (Volksrepublik China)","188","8508","China (Volksrepublik China)","195","2"
"2008","014","14","City","Asien","4","Ostasien","42","8508","China (Volksrepublik China)","188","8543","Tibet","229","2"
"2008","014","14","City","Asien","4","Ostasien","42","8515","Japan","194","8515","Japan","202","2"
"2008","014","14","City","Asien","4","Südasien","46","8506","Sri Lanka","186","8506","Sri Lanka","193","5"
"2008","014","14","City","Asien","4","Südasien","46","8533","Pakistan","211","8533","Pakistan","220","1"
"2008","014","14","City","Asien","4","Südostasien","47","8525","Malaysia","204","8525","Malaysia","212","1"
"2008","014","14","City","Asien","4","Südostasien","47","8537","Singapur","214","8537","Singapur","223","2"
"2008","014","14","City","Asien","4","Südostasien","47","8542","Thailand","218","8542","Thailand","228","2"
"2008","014","14","City","Asien","4","Südostasien","47","8545","Vietnam","220","8545","Vietnam","231","0"
"2008","014","14","City","Asien","4","Westasien","44","8512","Irak","191","8512","Irak","199","1"
"2008","014","14","City","Asien","4","Westasien","44","8513","Iran","192","8513","Iran","200","0"
"2008","014","14","City","Asien","4","Westasien","44","8514","Israel","193","8514","Israel","201","3"
"2008","014","14","City","Asien","4","Westasien","44","8517","Jordanien","196","8517","Jordanien","204","4"
"2008","014","14","City","Asien","4","Westasien","44","8541","Syrien","217","8541","Syrien","227","1"
"2008","014","14","City","Europa","1","Nordeuropa","11","8234","Schweden","32","8234","Schweden","35","1"
"2008","014","14","City","Europa","1","Osteuropa","12","8264","Russland","53","8264","Russland","59","1"
"2008","014","14","City","Europa","1","Osteuropa","12","8265","Ukraine","54","8265","Ukraine","60","1"
"2008","014","14","City","Europa","1","Südeuropa","16","8214","Griechenland","13","8214","Griechenland","15","5"
"2008","014","14","City","Europa","1","Südeuropa","16","8218","Italien","17","8218","Italien","19","32"
"2008","014","14","City","Europa","1","Südeuropa","16","8239","Türkei","37","8239","Türkei","40","1"
"2008","014","14","City","Europa","1","Südosteuropa","17","8205","Bulgarien","6","8205","Bulgarien","5","5"
"2008","014","14","City","Europa","1","Südosteuropa","17","8250","Kroatien","43","8250","Kroatien","46","5"
"2008","014","14","City","Europa","1","Südosteuropa","17","8259","Serbien und Montenegro; Kosovo","48","8259","Serbien und Montenegro","54","17"
"2008","014","14","City","Europa","1","Südwesteuropa","15","8231","Portugal","29","8231","Portugal","32","7"
"2008","014","14","City","Europa","1","Südwesteuropa","15","8236","Spanien","34","8236","Spanien","37","7"
"2008","014","14","City","Europa","1","Westeuropa","14","8204","Belgien","5","8204","Belgien","4","1"
"2008","014","14","City","Europa","1","Westeuropa","14","8212","Frankreich","11","8212","Frankreich","13","9"
"2008","014","14","City","Europa","1","Westeuropa","14","8215","Grossbritannien","14","8215","Grossbritannien","16","21"
"2008","014","14","City","Europa","1","Westeuropa","14","8223","Luxemburg","21","8223","Luxemburg","24","1"
"2008","014","14","City","Europa","1","Westeuropa","14","8227","Niederlande","25","8227","Niederlande","28","6"
"2008","014","14","City","Europa","1","Zentraleuropa","13","1000","Schweiz","2","1000","Schweiz","1","570"
"2008","014","14","City","Europa","1","Zentraleuropa","13","8207","Deutschland","8","8207","Deutschland","8","80"
"2008","014","14","City","Europa","1","Zentraleuropa","13","8229","Österreich","27","8229","Österreich","30","18"
"2008","014","14","City","Europa","1","Zentraleuropa","13","8240","Ungarn","38","8240","Ungarn","41","1"
"2008","014","14","City","Europa","1","Zentraleuropa","13","8243","Slowakische Republik","41","8243","Slowakische Republik","44","0"
"2008","014","14","City","Europa","1","Zentraleuropa","13","8244","Tschechische Republik","42","8244","Tschechische Republik","45","1"
"2008","021","21","Wollishofen","Afrika","2","Nordafrika","21","8304","Algerien","63","8304","Algerien","70","11"
"2008","021","21","Wollishofen","Afrika","2","Nordafrika","21","8331","Marokko","88","8331","Marokko","95","16"
"2008","021","21","Wollishofen","Afrika","2","Nordafrika","21","8350","Sudan","106","8350","Sudan","113","4"
"2008","021","21","Wollishofen","Afrika","2","Nordafrika","21","8357","Tunesien","112","8357","Tunesien","119","10"
"2008","021","21","Wollishofen","Afrika","2","Nordafrika","21","8359","Ägypten","114","8359","Ägypten","121","7"
"2008","021","21","Wollishofen","Afrika","2","Ostafrika","22","8302","Äthiopien","61","8302","Äthiopien","68","4"
"2008","021","21","Wollishofen","Afrika","2","Ostafrika","22","8320","Kenia","77","8320","Kenia","84","10"
"2008","021","21","Wollishofen","Afrika","2","Ostafrika","22","8348","Somalia","104","8348","Somalia","111","53"
"2008","021","21","Wollishofen","Afrika","2","Ostafrika","22","8362","Eritrea","117","8362","Eritrea","124","3"
"2008","021","21","Wollishofen","Afrika","2","Südafrika","26","8349","Südafrika","105","8349","Südafrika","112","4"
"2008","021","21","Wollishofen","Afrika","2","Südwestafrika","25","8305","Angola","64","8305","Angola","71","5"
